t,y1(t) = t/1000 = y1(t-1)+0.001,y2(t)=y2(t-1)*0.999,y3(t)=y1(t)+y2(t),y4(t) = y4(t-1)-0.001,y5(t)=y1(t)*t%2+y4(t)*(1-t%2)
188,"0,188","0,8285367692","1,016536769","0,812","0,812"
189,"0,189","0,8277082324","1,016708232","0,811","0,189"
190,"0,19","0,8268805241","1,016880524","0,81","0,81"
191,"0,191","0,8260536436","1,017053644","0,809","0,191"
192,"0,192","0,82522759","1,01722759","0,808","0,808"
193,"0,193","0,8244023624","1,017402362","0,807","0,193"
194,"0,194","0,82357796","1,01757796","0,806","0,806"
195,"0,195","0,8227543821","1,017754382","0,805","0,195"
196,"0,196","0,8219316277","1,017931628","0,804","0,804"
197,"0,197","0,8211096961","1,018109696","0,803","0,197"
198,"0,198","0,8202885864","1,018288586","0,802","0,802"
199,"0,199","0,8194682978","1,018468298","0,801","0,199"
200,"0,2","0,8186488295","1,018648829","0,8","0,8"
201,"0,201","0,8178301806","1,018830181","0,799","0,201"
202,"0,202","0,8170123505","1,01901235","0,798","0,798"
203,"0,203","0,8161953381","1,019195338","0,797","0,203"
204,"0,204","0,8153791428","1,019379143","0,796","0,796"
205,"0,205","0,8145637636","1,019563764","0,795","0,205"
206,"0,206","0,8137491999","1,0197492","0,794","0,794"
207,"0,207","0,8129354507","1,019935451","0,793","0,207"
208,"0,208","0,8121225152","1,020122515","0,792","0,792"
209,"0,209","0,8113103927","1,020310393","0,791","0,209"
210,"0,21","0,8104990823","1,020499082","0,79","0,79"
211,"0,211","0,8096885832","1,020688583","0,789","0,211"
212,"0,212","0,8088788946","1,020878895","0,788","0,788"
213,"0,213","0,8080700158","1,021070016","0,787","0,213"
214,"0,214","0,8072619457","1,021261946","0,786","0,786"
215,"0,215","0,8064546838","1,021454684","0,785","0,215"
216,"0,216","0,8056482291","1,021648229","0,784","0,784"
217,"0,217","0,8048425809","1,021842581","0,783","0,217"
218,"0,218","0,8040377383","1,022037738","0,782","0,782"
219,"0,219","0,8032337006","1,022233701","0,781","0,219"
220,"0,22","0,8024304669","1,022430467","0,78","0,78"
221,"0,221","0,8016280364","1,022628036","0,779","0,221"
222,"0,222","0,8008264084","1,022826408","0,778","0,778"
223,"0,223","0,8000255819","1,023025582","0,777","0,223"
224,"0,224","0,7992255564","1,023225556","0,776","0,776"
225,"0,225","0,7984263308","1,023426331","0,775","0,225"
226,"0,226","0,7976279045","1,023627904","0,774","0,774"
227,"0,227","0,7968302766","1,023830277","0,773","0,227"
228,"0,228","0,7960334463","1,024033446","0,772","0,772"
229,"0,229","0,7952374129","1,024237413","0,771","0,229"
230,"0,23","0,7944421754","1,024442175","0,77","0,77"
231,"0,231","0,7936477333","1,024647733","0,769","0,231"
232,"0,232","0,7928540855","1,024854086","0,768","0,768"
233,"0,233","0,7920612314","1,025061231","0,767","0,233"
234,"0,234","0,7912691702","1,02526917","0,766","0,766"
235,"0,235","0,790477901","1,025477901","0,765","0,235"
236,"0,236","0,7896874231","1,025687423","0,764","0,764"
237,"0,237","0,7888977357","1,025897736","0,763","0,237"
238,"0,238","0,788108838","1,026108838","0,762","0,762"
239,"0,239","0,7873207291","1,026320729","0,761","0,239"
240,"0,24","0,7865334084","1,026533408","0,76","0,76"
241,"0,241","0,785746875","1,026746875","0,759","0,241"
242,"0,242","0,7849611281","1,026961128","0,758","0,758"
243,"0,243","0,784176167","1,027176167","0,757","0,243"
244,"0,244","0,7833919908","1,027391991","0,756","0,756"
245,"0,245","0,7826085988","1,027608599","0,755","0,245"
246,"0,246","0,7818259902","1,02782599","0,754","0,754"
247,"0,247","0,7810441643","1,028044164","0,753","0,247"
248,"0,248","0,7802631201","1,02826312","0,752","0,752"
249,"0,249","0,779482857","1,028482857","0,751","0,249"
250,"0,25","0,7787033741","1,028703374","0,75","0,75"
251,"0,251","0,7779246707","1,028924671","0,749","0,251"
252,"0,252","0,7771467461","1,029146746","0,748","0,748"
253,"0,253","0,7763695993","1,029369599","0,747","0,253"
254,"0,254","0,7755932297","1,02959323","0,746","0,746"
255,"0,255","0,7748176365","1,029817636","0,745","0,255"
256,"0,256","0,7740428189","1,030042819","0,744","0,744"
257,"0,257","0,773268776","1,030268776","0,743","0,257"
258,"0,258","0,7724955073","1,030495507","0,742","0,742"
259,"0,259","0,7717230118","1,030723012","0,741","0,259"
260,"0,26","0,7709512887","1,030951289","0,74","0,74"
261,"0,261","0,7701803375","1,031180337","0,739","0,261"
262,"0,262","0,7694101571","1,031410157","0,738","0,738"
263,"0,263","0,768640747","1,031640747","0,737","0,263"
264,"0,264","0,7678721062","1,031872106","0,736","0,736"
265,"0,265","0,7671042341","1,032104234","0,735","0,265"
266,"0,266","0,7663371299","1,03233713","0,734","0,734"
267,"0,267","0,7655707927","1,032570793","0,733","0,267"
268,"0,268","0,764805222","1,032805222","0,732","0,732"
269,"0,269","0,7640404167","1,033040417","0,731","0,269"
270,"0,27","0,7632763763","1,033276376","0,73","0,73"
271,"0,271","0,7625130999","1,0335131","0,729","0,271"
272,"0,272","0,7617505868","1,033750587","0,728","0,728"
273,"0,273","0,7609888363","1,033988836","0,727","0,273"
274,"0,274","0,7602278474","1,034227847","0,726","0,726"
275,"0,275","0,7594676196","1,03446762","0,725","0,275"
276,"0,276","0,7587081519","1,034708152","0,724","0,724"
277,"0,277","0,7579494438","1,034949444","0,723","0,277"
278,"0,278","0,7571914944","1,035191494","0,722","0,722"
279,"0,279","0,7564343029","1,035434303","0,721","0,279"
280,"0,28","0,7556778686","1,035677869","0,72","0,72"
281,"0,281","0,7549221907","1,035922191","0,719","0,281"
282,"0,282","0,7541672685","1,036167268","0,718","0,718"
283,"0,283","0,7534131012","1,036413101","0,717","0,283"
284,"0,284","0,7526596881","1,036659688","0,716","0,716"
285,"0,285","0,7519070284","1,036907028","0,715","0,285"
286,"0,286","0,7511551214","1,037155121","0,714","0,714"
287,"0,287","0,7504039663","1,037403966","0,713","0,287"
288,"0,288","0,7496535623","1,037653562","0,712","0,712"
289,"0,289","0,7489039088","1,037903909","0,711","0,289"
290,"0,29","0,7481550049","1,038155005","0,71","0,71"
291,"0,291","0,7474068498","1,03840685","0,709","0,291"
292,"0,292","0,746659443","1,038659443","0,708","0,708"
293,"0,293","0,7459127836","1,038912784","0,707","0,293"
294,"0,294","0,7451668708","1,039166871","0,706","0,706"
295,"0,295","0,7444217039","1,039421704","0,705","0,295"
296,"0,296","0,7436772822","1,039677282","0,704","0,704"
297,"0,297","0,7429336049","1,039933605","0,703","0,297"
298,"0,298","0,7421906713","1,040190671","0,702","0,702"
299,"0,299","0,7414484806","1,040448481","0,701","0,299"
300,"0,3","0,7407070322","1,040707032","0,7","0,7"
301,"0,301","0,7399663251","1,040966325","0,699","0,301"
302,"0,302","0,7392263588","1,041226359","0,698","0,698"
303,"0,303","0,7384871324","1,041487132","0,697","0,303"
304,"0,304","0,7377486453","1,041748645","0,696","0,696"
305,"0,305","0,7370108967","1,042010897","0,695","0,305"
306,"0,306","0,7362738858","1,042273886","0,694","0,694"
307,"0,307","0,7355376119","1,042537612","0,693","0,307"
308,"0,308","0,7348020743","1,042802074","0,692","0,692"
309,"0,309","0,7340672722","1,043067272","0,691","0,309"
310,"0,31","0,7333332049","1,043333205","0,69","0,69"
311,"0,311","0,7325998717","1,043599872","0,689","0,311"
312,"0,312","0,7318672718","1,043867272","0,688","0,688"
313,"0,313","0,7311354046","1,044135405","0,687","0,313"
314,"0,314","0,7304042692","1,044404269","0,686","0,686"
315,"0,315","0,7296738649","1,044673865","0,685","0,315"
316,"0,316","0,728944191","1,044944191","0,684","0,684"
317,"0,317","0,7282152468","1,045215247","0,683","0,317"
318,"0,318","0,7274870316","1,045487032","0,682","0,682"
319,"0,319","0,7267595446","1,045759545","0,681","0,319"
320,"0,32","0,726032785","1,046032785","0,68","0,68"
321,"0,321","0,7253067522","1,046306752","0,679","0,321"
322,"0,322","0,7245814455","1,046581445","0,678","0,678"
323,"0,323","0,723856864","1,046856864","0,677","0,323"
324,"0,324","0,7231330072","1,047133007","0,676","0,676"
325,"0,325","0,7224098742","1,047409874","0,675","0,325"
326,"0,326","0,7216874643","1,047687464","0,674","0,674"
327,"0,327","0,7209657768","1,047965777","0,673","0,327"
328,"0,328","0,7202448111","1,048244811","0,672","0,672"
329,"0,329","0,7195245662","1,048524566","0,671","0,329"
330,"0,33","0,7188050417","1,048805042","0,67","0,67"
331,"0,331","0,7180862366","1,049086237","0,669","0,331"
332,"0,332","0,7173681504","1,04936815","0,668","0,668"
333,"0,333","0,7166507822","1,049650782","0,667","0,333"
334,"0,334","0,7159341315","1,049934131","0,666","0,666"
335,"0,335","0,7152181973","1,050218197","0,665","0,335"
336,"0,336","0,7145029791","1,050502979","0,664","0,664"
337,"0,337","0,7137884762","1,050788476","0,663","0,337"
338,"0,338","0,7130746877","1,051074688","0,662","0,662"
339,"0,339","0,712361613","1,051361613","0,661","0,339"
340,"0,34","0,7116492514","1,051649251","0,66","0,66"
341,"0,341","0,7109376021","1,051937602","0,659","0,341"
342,"0,342","0,7102266645","1,052226665","0,658","0,658"
343,"0,343","0,7095164379","1,052516438","0,657","0,343"
344,"0,344","0,7088069214","1,052806921","0,656","0,656"
345,"0,345","0,7080981145","1,053098115","0,655","0,345"
346,"0,346","0,7073900164","1,053390016","0,654","0,654"
347,"0,347","0,7066826264","1,053682626","0,653","0,347"
348,"0,348","0,7059759437","1,053975944","0,652","0,652"
349,"0,349","0,7052699678","1,054269968","0,651","0,349"
350,"0,35","0,7045646978","1,054564698","0,65","0,65"
351,"0,351","0,7038601331","1,054860133","0,649","0,351"
352,"0,352","0,703156273","1,055156273","0,648","0,648"
353,"0,353","0,7024531167","1,055453117","0,647","0,353"
354,"0,354","0,7017506636","1,055750664","0,646","0,646"
355,"0,355","0,7010489129","1,056048913","0,645","0,355"
356,"0,356","0,700347864","1,056347864","0,644","0,644"
357,"0,357","0,6996475162","1,056647516","0,643","0,357"
358,"0,358","0,6989478687","1,056947869","0,642","0,642"
359,"0,359","0,6982489208","1,057248921","0,641","0,359"
360,"0,36","0,6975506719","1,057550672","0,64","0,64"
361,"0,361","0,6968531212","1,057853121","0,639","0,361"
362,"0,362","0,6961562681","1,058156268","0,638","0,638"
363,"0,363","0,6954601118","1,058460112","0,637","0,363"
364,"0,364","0,6947646517","1,058764652","0,636","0,636"
365,"0,365","0,694069887","1,059069887","0,635","0,365"
366,"0,366","0,6933758172","1,059375817","0,634","0,634"
367,"0,367","0,6926824413","1,059682441","0,633","0,367"
368,"0,368","0,6919897589","1,059989759","0,632","0,632"
369,"0,369","0,6912977691","1,060297769","0,631","0,369"
370,"0,37","0,6906064714","1,060606471","0,63","0,63"
371,"0,371","0,6899158649","1,060915865","0,629","0,371"
372,"0,372","0,689225949","1,061225949","0,628","0,628"
373,"0,373","0,6885367231","1,061536723","0,627","0,373"
374,"0,374","0,6878481864","1,061848186","0,626","0,626"
375,"0,375","0,6871603382","1,062160338","0,625","0,375"
376,"0,376","0,6864731778","1,062473178","0,624","0,624"
377,"0,377","0,6857867047","1,062786705","0,623","0,377"
378,"0,378","0,685100918","1,063100918","0,622","0,622"
379,"0,379","0,684415817","1,063415817","0,621","0,379"
380,"0,38","0,6837314012","1,063731401","0,62","0,62"
381,"0,381","0,6830476698","1,06404767","0,619","0,381"
382,"0,382","0,6823646221","1,064364622","0,618","0,618"
383,"0,383","0,6816822575","1,064682258","0,617","0,383"
384,"0,384","0,6810005753","1,065000575","0,616","0,616"
385,"0,385","0,6803195747","1,065319575","0,615","0,385"
386,"0,386","0,6796392551","1,065639255","0,614","0,614"
387,"0,387","0,6789596159","1,065959616","0,613","0,387"
388,"0,388","0,6782806562","1,066280656","0,612","0,612"
389,"0,389","0,6776023756","1,066602376","0,611","0,389"
390,"0,39","0,6769247732","1,066924773","0,61","0,61"
391,"0,391","0,6762478484","1,067247848","0,609","0,391"
392,"0,392","0,6755716006","1,067571601","0,608","0,608"
393,"0,393","0,674896029","1,067896029","0,607","0,393"
394,"0,394","0,674221133","1,068221133","0,606","0,606"
395,"0,395","0,6735469118","1,068546912","0,605","0,395"
396,"0,396","0,6728733649","1,068873365","0,604","0,604"
397,"0,397","0,6722004916","1,069200492","0,603","0,397"
398,"0,398","0,6715282911","1,069528291","0,602","0,602"
399,"0,399","0,6708567628","1,069856763","0,601","0,399"
400,"0,4","0,670185906","1,070185906","0,6","0,6"
401,"0,401","0,6695157201","1,07051572","0,599","0,401"
402,"0,402","0,6688462044","1,070846204","0,598","0,598"
403,"0,403","0,6681773582","1,071177358","0,597","0,403"
404,"0,404","0,6675091808","1,071509181","0,596","0,596"
405,"0,405","0,6668416716","1,071841672","0,595","0,405"
406,"0,406","0,66617483","1,07217483","0,594","0,594"
407,"0,407","0,6655086551","1,072508655","0,593","0,407"
408,"0,408","0,6648431465","1,072843146","0,592","0,592"
409,"0,409","0,6641783033","1,073178303","0,591","0,409"
410,"0,41","0,663514125","1,073514125","0,59","0,59"
411,"0,411","0,6628506109","1,073850611","0,589","0,411"
412,"0,412","0,6621877603","1,07418776","0,588","0,588"
413,"0,413","0,6615255725","1,074525573","0,587","0,413"
414,"0,414","0,660864047","1,074864047","0,586","0,586"
415,"0,415","0,6602031829","1,075203183","0,585","0,415"
416,"0,416","0,6595429797","1,07554298","0,584","0,584"
417,"0,417","0,6588834368","1,075883437","0,583","0,417"
418,"0,418","0,6582245533","1,076224553","0,582","0,582"
419,"0,419","0,6575663288","1,076566329","0,581","0,419"
420,"0,42","0,6569087624","1,076908762","0,58","0,58"
421,"0,421","0,6562518537","1,077251854","0,579","0,421"
422,"0,422","0,6555956018","1,077595602","0,578","0,578"
423,"0,423","0,6549400062","1,077940006","0,577","0,423"
424,"0,424","0,6542850662","1,078285066","0,576","0,576"
425,"0,425","0,6536307811","1,078630781","0,575","0,425"
426,"0,426","0,6529771504","1,07897715","0,574","0,574"
427,"0,427","0,6523241732","1,079324173","0,573","0,427"
428,"0,428","0,651671849","1,079671849","0,572","0,572"
429,"0,429","0,6510201772","1,080020177","0,571","0,429"
430,"0,43","0,650369157","1,080369157","0,57","0,57"
431,"0,431","0,6497187879","1,080718788","0,569","0,431"
432,"0,432","0,6490690691","1,081069069","0,568","0,568"
433,"0,433","0,64842","1,08142","0,567","0,433"
434,"0,434","0,64777158","1,08177158","0,566","0,566"
435,"0,435","0,6471238084","1,082123808","0,565","0,435"
436,"0,436","0,6464766846","1,082476685","0,564","0,564"
437,"0,437","0,6458302079","1,082830208","0,563","0,437"
438,"0,438","0,6451843777","1,083184378","0,562","0,562"
439,"0,439","0,6445391933","1,083539193","0,561","0,439"
440,"0,44","0,6438946541","1,083894654","0,56","0,56"
441,"0,441","0,6432507595","1,084250759","0,559","0,441"
442,"0,442","0,6426075087","1,084607509","0,558","0,558"
443,"0,443","0,6419649012","1,084964901","0,557","0,443"
444,"0,444","0,6413229363","1,085322936","0,556","0,556"
445,"0,445","0,6406816134","1,085681613","0,555","0,445"
446,"0,446","0,6400409318","1,086040932","0,554","0,554"
447,"0,447","0,6394008908","1,086400891","0,553","0,447"
448,"0,448","0,63876149","1,08676149","0,552","0,552"
449,"0,449","0,6381227285","1,087122728","0,551","0,449"
450,"0,45","0,6374846057","1,087484606","0,55","0,55"
451,"0,451","0,6368471211","1,087847121","0,549","0,451"
452,"0,452","0,636210274","1,088210274","0,548","0,548"
453,"0,453","0,6355740637","1,088574064","0,547","0,453"
454,"0,454","0,6349384897","1,08893849","0,546","0,546"
455,"0,455","0,6343035512","1,089303551","0,545","0,455"
456,"0,456","0,6336692476","1,089669248","0,544","0,544"
457,"0,457","0,6330355784","1,090035578","0,543","0,457"
458,"0,458","0,6324025428","1,090402543","0,542","0,542"
459,"0,459","0,6317701403","1,09077014","0,541","0,459"
460,"0,46","0,6311383701","1,09113837","0,54","0,54"
461,"0,461","0,6305072317","1,091507232","0,539","0,461"
462,"0,462","0,6298767245","1,091876725","0,538","0,538"
463,"0,463","0,6292468478","1,092246848","0,537","0,463"
464,"0,464","0,6286176009","1,092617601","0,536","0,536"
465,"0,465","0,6279889833","1,092988983","0,535","0,465"
466,"0,466","0,6273609944","1,093360994","0,534","0,534"
467,"0,467","0,6267336334","1,093733633","0,533","0,467"
468,"0,468","0,6261068997","1,0941069","0,532","0,532"
469,"0,469","0,6254807928","1,094480793","0,531","0,469"
470,"0,47","0,624855312","1,094855312","0,53","0,53"
471,"0,471","0,6242304567","1,095230457","0,529","0,471"
472,"0,472","0,6236062263","1,095606226","0,528","0,528"
473,"0,473","0,62298262","1,09598262","0,527","0,473"
474,"0,474","0,6223596374","1,096359637","0,526","0,526"
475,"0,475","0,6217372778","1,096737278","0,525","0,475"
476,"0,476","0,6211155405","1,097115541","0,524","0,524"
477,"0,477","0,620494425","1,097494425","0,523","0,477"
